,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
67,2022-01-03 11:00:00,47133.52131022,47434.66327884,47131.20823138,47381.27467182,2827.4326408419274,1492.46234157,366.0397356,1126.42260597,0.01536578,7.28
68,2022-01-03 12:00:00,47382.01958761,47577.4098181,47181.92783965,47199.67938737,3049.097494826362,1817.74283389,2004.94226787,-187.1994339800001,0.01188701,5.61
69,2022-01-03 13:00:00,47199.8746246,47396.3295719,47132.48794082,47158.8312616,2495.8323977486975,1165.53405174,1997.4680762,-831.93402446,-0.0078043,-3.68
70,2022-01-03 14:00:00,47157.95680398,47283.07292711,46770.03364359,46874.35640748,4953.652197802305,1294.64330684,1300.67943453,-6.0361276900000576,-0.00744541,-3.49
71,2022-01-03 15:00:00,46876.24307823,47022.62457462,46581.41719167,46690.3801055,4544.979635147534,974.62692769,981.21942529,-6.5924976000000015,-0.01233578,-5.76
72,2022-01-03 16:00:00,46690.11925947,46780.94295063,46272.24289819,46484.60776573,8899.880323736637,1325.40697062,884.90925483,440.49771579,0.02028727,9.43
73,2022-01-03 17:00:00,46481.26736759,46792.11722471,46414.82061418,46585.87391342,3601.3899442442485,4748.85506244,2096.94724861,2651.9078138300006,0.01655318,7.71
74,2022-01-03 18:00:00,46581.81372343,46741.50720051,46411.82037472,46474.91118088,2287.9469235698293,974.1005095,1214.65018005,-240.54967054999997,0.00673513,3.13
75,2022-01-03 19:00:00,46469.22143103,46658.45564602,46362.59161108,46369.40423895,2496.693364888082,847.929498,801.64262423,46.28687376999994,0.02704917,12.54
76,2022-01-03 20:00:00,46367.8168117,46414.36378611,45695.97838611,45920.36882963,9682.285547710817,2937.98151206,1195.55644123,1742.42507083,-0.01380602,-6.34
77,2022-01-03 21:00:00,45918.943903,46261.68611265,45817.48180957,45982.99277568,3165.245391213436,896.57842022,1058.0907565,-161.51233628,0.01824746,8.39
