start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1675850400000,2.44,4.37963409,0.01053549,0.01890891,2023-02-08 10:00:00+00:00
1675854000000,-0.09,4.09530713,-0.00038862,0.01768019,2023-02-08 11:00:00+00:00
1675857600000,-0.76,-5.1097503,-0.00328671,-0.02210187,2023-02-08 12:00:00+00:00
1675861200000,-1.53,0.56767536,-0.00661911,0.00245566,2023-02-08 13:00:00+00:00
1675864800000,-1.95,1.13549815,-0.00845917,0.00492517,2023-02-08 14:00:00+00:00
1675868400000,-2.38,-1.04563118,-0.01040561,-0.00457134,2023-02-08 15:00:00+00:00
1675872000000,-0.23,4.55870321,-0.00100147,0.01984539,2023-02-08 16:00:00+00:00
1675875600000,0.97,3.26741347,0.00421665,0.01420223,2023-02-08 17:00:00+00:00
1675879200000,0.31,0.69185574,0.00135412,0.00302207,2023-02-08 18:00:00+00:00
1675882800000,-0.97,-6.15322133,-0.00424046,-0.02690555,2023-02-08 19:00:00+00:00
1675886400000,2.78,7.76604361,0.01217703,0.0340096,2023-02-08 20:00:00+00:00
1675890000000,1.5,11.24501367,0.00653442,0.04896562,2023-02-08 21:00:00+00:00
1675893600000,0.51,19.20656132,0.00222428,0.08369798,2023-02-08 22:00:00+00:00
1675897200000,1.38,14.20139105,0.00600967,0.06181014,2023-02-08 23:00:00+00:00
1675900800000,-0.24,1.81768651,-0.00104436,0.00790893,2023-02-09 00:00:00+00:00
1675904400000,0.01,7.06723842,4.358e-05,0.03078711,2023-02-09 01:00:00+00:00
1675908000000,-0.44,-6.83273483,-0.00192925,-0.02996765,2023-02-09 02:00:00+00:00
1675911600000,-2.43,-2.03097324,-0.01079116,-0.009019,2023-02-09 03:00:00+00:00
1675915200000,2.57,4.62283713,0.01138752,0.02048165,2023-02-09 04:00:00+00:00
1675918800000,2.05,-0.50075758,0.00906956,-0.00221569,2023-02-09 05:00:00+00:00
1675922400000,-1.41,1.62052076,-0.00620619,0.00713186,2023-02-09 06:00:00+00:00
1675926000000,0.29,3.03906118,0.00127886,0.01340024,2023-02-09 07:00:00+00:00
1675929600000,0.12,-4.82219579,0.00052815,-0.02122846,2023-02-09 08:00:00+00:00
1675933200000,1.12,1.28735676,0.00492553,0.00566148,2023-02-09 09:00:00+00:00
1675936800000,-0.75,-3.85561287,-0.00330418,-0.0169885,2023-02-09 10:00:00+00:00
1675940400000,1.36,-0.61570545,0.00599494,-0.00271429,2023-02-09 11:00:00+00:00
1675944000000,1.87,1.32393273,0.00823589,0.00583103,2023-02-09 12:00:00+00:00
1675947600000,-0.7,2.91459046,-0.00307725,0.01281071,2023-02-09 13:00:00+00:00
1675951200000,0.03,-7.60572081,0.00013219,-0.03352508,2023-02-09 14:00:00+00:00
1675954800000,2.4,1.47114258,0.01061433,0.0065066,2023-02-09 15:00:00+00:00
1675958400000,-0.02,7.97371506,-8.884e-05,0.03540758,2023-02-09 16:00:00+00:00
1675962000000,-1.68,-8.5872409,-0.0074543,-0.03811398,2023-02-09 17:00:00+00:00
1675965600000,-0.23,-3.60856338,-0.00102155,-0.01602996,2023-02-09 18:00:00+00:00
1675969200000,-1.53,-0.97301309,-0.00694422,-0.00441611,2023-02-09 19:00:00+00:00
1675972800000,3.97,2.02461213,0.01805021,0.00920602,2023-02-09 20:00:00+00:00
1675976400000,2.58,6.65401432,0.01180438,0.0304387,2023-02-09 21:00:00+00:00
1675980000000,3.27,10.58323705,0.01502238,0.04860304,2023-02-09 22:00:00+00:00
1675983600000,4.28,11.29341154,0.01963632,0.05179664,2023-02-09 23:00:00+00:00
1675987200000,5.22,18.42422917,0.02391852,0.08437045,2023-02-10 00:00:00+00:00
1675990800000,6.47,8.12870156,0.02955126,0.03712445,2023-02-10 01:00:00+00:00
1675994400000,6.51,11.63766229,0.02970193,0.0530845,2023-02-10 02:00:00+00:00
1675998000000,5.47,10.33274145,0.02506232,0.04733178,2023-02-10 03:00:00+00:00
1676001600000,5.77,12.08534887,0.0264848,0.05545672,2023-02-10 04:00:00+00:00
1676005200000,5.93,10.45479356,0.02720585,0.0479549,2023-02-10 05:00:00+00:00
1676008800000,5.23,10.99267887,0.02390887,0.05023963,2023-02-10 06:00:00+00:00
1676012400000,8.16,15.16780309,0.03724036,0.06920022,2023-02-10 07:00:00+00:00
1676016000000,6.36,11.55960333,0.02905519,0.05279664,2023-02-10 08:00:00+00:00
1676019600000,5.83,11.24621749,0.02671833,0.05152753,2023-02-10 09:00:00+00:00
1676023200000,5.74,6.95526252,0.02627077,0.031831,2023-02-10 10:00:00+00:00
1676026800000,5.19,6.65614326,0.02388016,0.0306241,2023-02-10 11:00:00+00:00
1676030400000,2.58,7.46405178,0.01187928,0.03435956,2023-02-10 12:00:00+00:00
1676034000000,5.03,5.50236278,0.02310745,0.0252769,2023-02-10 13:00:00+00:00
1676037600000,7.68,12.11776613,0.03516234,0.05546907,2023-02-10 14:00:00+00:00
1676041200000,5.89,8.05454284,0.0272004,0.03719269,2023-02-10 15:00:00+00:00
1676044800000,3.27,5.24661842,0.01513391,0.02427969,2023-02-10 16:00:00+00:00
1676048400000,3.94,10.4465364,0.01816332,0.04814387,2023-02-10 17:00:00+00:00
1676052000000,2.85,4.78316637,0.01313128,0.02203632,2023-02-10 18:00:00+00:00
1676055600000,2.58,9.40131792,0.01185058,0.04316905,2023-02-10 19:00:00+00:00
1676059200000,0.92,0.22090881,0.00423487,0.0010169,2023-02-10 20:00:00+00:00
1676062800000,1.66,4.75929037,0.00770791,0.02209573,2023-02-10 21:00:00+00:00
1676066400000,1.1,10.77920866,0.00509939,0.04994797,2023-02-10 22:00:00+00:00
1676070000000,3.78,3.70236557,0.01747962,0.01712068,2023-02-10 23:00:00+00:00
1676073600000,5.01,9.0621407,0.02313274,0.04183491,2023-02-11 00:00:00+00:00
1676077200000,4.1,7.8859944,0.01895035,0.03644297,2023-02-11 01:00:00+00:00
1676080800000,2.62,3.34469913,0.01210039,0.01544687,2023-02-11 02:00:00+00:00
1676084400000,2.34,4.59261917,0.01079407,0.02118287,2023-02-11 03:00:00+00:00
1676088000000,3.04,4.49756916,0.01401775,0.02073736,2023-02-11 04:00:00+00:00
1676091600000,3.07,5.84291601,0.01416361,0.02695316,2023-02-11 05:00:00+00:00
1676095200000,2.38,6.36181289,0.01098306,0.02935267,2023-02-11 06:00:00+00:00
1676098800000,2.24,1.23714972,0.01032609,0.00570335,2023-02-11 07:00:00+00:00
1676102400000,1.43,4.85637495,0.00659372,0.02238919,2023-02-11 08:00:00+00:00
1676106000000,2.43,0.79242402,0.011199,0.00365227,2023-02-11 09:00:00+00:00
1676109600000,3.03,15.47244763,0.01398226,0.07135826,2023-02-11 10:00:00+00:00
1676113200000,2.43,1.59920502,0.01119948,0.00737076,2023-02-11 11:00:00+00:00
1676116800000,0.08,0.10258232,0.00036843,0.00047243,2023-02-11 12:00:00+00:00
1676120400000,3.23,11.0123393,0.01485229,0.05061917,2023-02-11 13:00:00+00:00
1676124000000,3.4,7.60947877,0.01563144,0.03497767,2023-02-11 14:00:00+00:00
1676127600000,5.26,9.2002622,0.02419973,0.04232006,2023-02-11 15:00:00+00:00
1676131200000,-0.61,5.49943902,-0.00281195,0.02534391,2023-02-11 16:00:00+00:00
1676134800000,2.5,10.12584736,0.01152134,0.04664894,2023-02-11 17:00:00+00:00
1676138400000,-0.5,6.34960277,-0.00230904,0.02931369,2023-02-11 18:00:00+00:00
1676142000000,-0.71,3.08659253,-0.00327753,0.01424597,2023-02-11 19:00:00+00:00
1676145600000,4.57,15.86533997,0.02108772,0.07317056,2023-02-11 20:00:00+00:00
1676149200000,5.42,15.92433413,0.02483554,0.07293342,2023-02-11 21:00:00+00:00
1676152800000,4.13,13.25068515,0.01892367,0.0606893,2023-02-11 22:00:00+00:00
1676156400000,1.18,13.12963258,0.00539736,0.06002253,2023-02-11 23:00:00+00:00
1676160000000,6.24,13.92721613,0.02860238,0.06381588,2023-02-12 00:00:00+00:00
1676163600000,2.82,16.0672216,0.01293087,0.07363012,2023-02-12 01:00:00+00:00
1676167200000,4.35,18.1917371,0.01993929,0.08333339,2023-02-12 02:00:00+00:00
1676170800000,3.17,10.9165478,0.01455372,0.05010089,2023-02-12 03:00:00+00:00
1676174400000,6.01,14.8991944,0.02759036,0.06837045,2023-02-12 04:00:00+00:00
1676178000000,3.97,11.72120089,0.01821103,0.05374791,2023-02-12 05:00:00+00:00
1676181600000,4.16,8.22029696,0.01907415,0.03768413,2023-02-12 06:00:00+00:00
1676185200000,3.19,7.81606069,0.01463409,0.03584848,2023-02-12 07:00:00+00:00
1676188800000,2.93,2.2954777,0.01343735,0.01052766,2023-02-12 08:00:00+00:00
1676192400000,1.66,1.42910022,0.00757749,0.00652356,2023-02-12 09:00:00+00:00
1676196000000,2.88,11.98205672,0.01316242,0.05473864,2023-02-12 10:00:00+00:00
1676199600000,0.32,6.19022586,0.00146197,0.02827338,2023-02-12 11:00:00+00:00
1676203200000,3.09,5.13642965,0.01416028,0.02353607,2023-02-12 12:00:00+00:00
1676206800000,4.16,8.71440521,0.01906725,0.03993392,2023-02-12 13:00:00+00:00
1676210400000,2.9,7.23959301,0.01322765,0.03301511,2023-02-12 14:00:00+00:00
1676214000000,-0.09,0.43317595,-0.00041011,0.00197384,2023-02-12 15:00:00+00:00
1676217600000,1.22,5.77276208,0.00554428,0.02622885,2023-02-12 16:00:00+00:00
1676221200000,4.33,13.07736562,0.01969234,0.05945068,2023-02-12 17:00:00+00:00
1676224800000,4.63,4.3689743,0.02107241,0.01988464,2023-02-12 18:00:00+00:00
1676228400000,2.02,19.68615523,0.009183,0.08942212,2023-02-12 19:00:00+00:00
1676232000000,-0.09,1.03190882,-0.00040969,0.00469707,2023-02-12 20:00:00+00:00
1676235600000,2.3,8.23805588,0.01058037,0.03788601,2023-02-12 21:00:00+00:00
1676239200000,5.36,-0.25666575,0.02459334,-0.00117797,2023-02-12 22:00:00+00:00
1676242800000,6.26,10.25052669,0.02873729,0.04704767,2023-02-12 23:00:00+00:00
1676246400000,9.01,14.32628139,0.0413089,0.06566689,2023-02-13 00:00:00+00:00
1676250000000,9.72,15.44993218,0.04477529,0.07115151,2023-02-13 01:00:00+00:00
1676253600000,8.23,11.42407587,0.03782515,0.05249744,2023-02-13 02:00:00+00:00
1676257200000,4.45,8.69308122,0.02040479,0.03985304,2023-02-13 03:00:00+00:00
1676260800000,5.52,10.91866592,0.0252766,0.04998524,2023-02-13 04:00:00+00:00
1676264400000,6.56,16.84091783,0.03004633,0.07709901,2023-02-13 05:00:00+00:00
1676268000000,6.62,18.03170408,0.03033491,0.0825837,2023-02-13 06:00:00+00:00
1676271600000,21.41,37.95684367,0.097907,0.17344366,2023-02-13 07:00:00+00:00
1676275200000,17.81,25.33838422,0.08199563,0.1166152,2023-02-13 08:00:00+00:00
1676278800000,25.98,52.57261553,0.12036281,0.24326374,2023-02-13 09:00:00+00:00
1676282400000,41.28,97.29633075,0.1911628,0.449399,2023-02-13 10:00:00+00:00
1676286000000,24.8,58.69095897,0.11479829,0.27125208,2023-02-13 11:00:00+00:00
1676289600000,17.43,41.33659826,0.08048031,0.19065463,2023-02-13 12:00:00+00:00
1676293200000,16.29,29.29283769,0.07551148,0.13570363,2023-02-13 13:00:00+00:00
1676296800000,13.63,26.73471479,0.06289906,0.12329945,2023-02-13 14:00:00+00:00
1676300400000,11.31,28.10327998,0.05245091,0.13022941,2023-02-13 15:00:00+00:00
1676304000000,16.85,24.05354456,0.07835839,0.11181992,2023-02-13 16:00:00+00:00
1676307600000,16.11,28.42324761,0.07507556,0.13238156,2023-02-13 17:00:00+00:00
1676311200000,18.57,30.16571291,0.08583473,0.13935799,2023-02-13 18:00:00+00:00
